Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.04879229	0.8937389	2.057545	-1.5326977	105.458336	96.660904	361.0	0.0	1000.0	2978.0	0.09926666666666667	0.2516921	0.2749657	1.2190032	-0.7349566	-0.57938886	0.30681315	0.7707206	-1.5275853	2.514571e-08	0.017699802	-1.3411045e-07	-0.012080107	0.14930046	-0.1128378	356.83377	-124.58255	0	0	1.0	1.837877	0.034696996	30000	74.59422039985657
1	0.082288444	0.63835526	1.139168	-1.3288596	127.708336	149.50934	496.0	0.0	1000.0	6380.0	0.10633333333333334	0.052120347	0.08359158	0.34663558	-0.30858028	10.02909	3.1869318	17.62787	-4.1561017	3.7252903e-09	0.06506616	0.0	0.009340855	0.017854027	-0.004239913	420.27304	-55.1657	0	0	1.0	1.8383852	0.09333366	60000	144.59239768981934
2	0.33141482	0.75467885	2.2341876	-0.9408966	99.625	97.25002	338.0	0.0	1000.0	9897.0	0.10996666666666667	0.0154636605	0.06936055	0.3751042	-0.31250647	10.889621	6.2685237	26.298899	-15.924626	-1.8626451e-08	-0.014747238	-5.9604645e-08	0.0041915923	0.049750894	-0.014084706	336.59613	-83.28433	0	0	79.0	1.839309	0.007396161	90000	229.85113286972046
3	0.41678604	1.0985229	2.1876001	-1.6780472	151.91667	132.90877	463.0	0.0	1000.0	14300.0	0.11916666666666667	0.042673226	0.16024363	0.6161735	-0.58723813	12.087128	7.4597116	33.2199	-15.864893	-1.3038516e-08	0.00022282079	-2.9802322e-08	0.011050817	0.043251105	-0.0075985044	376.9707	-72.47977	0	0	6.0	1.8251934	0.006780496	120000	301.69691252708435
4	0.2889996	1.0418099	2.313039	-1.3377866	151.91667	106.87528	473.0	0.0	1000.0	18210.0	0.1214	0.05466002	0.15762724	0.62527037	-0.4678	14.719699	6.6929793	40.57266	-6.2670074	-1.5832484e-08	-0.001853741	-1.1920929e-07	9.002909e-05	0.041251868	-0.0055985805	241.3778	-50.555058	0	0	1.0	1.8235792	0.0024303095	150000	371.20102739334106
5	0.319915	1.002541	2.2560134	-1.3076882	130.66667	69.374985	309.0	42.0	1000.0	21911.0	0.12172777777777778	0.037420027	0.15826774	0.71805316	-0.4565028	15.095414	7.3477736	42.56391	-8.10696	-3.7252903e-09	-0.0011753367	-5.2154064e-08	-0.005222803	0.04197679	-0.008203579	248.67307	-40.314934	0	0	1.0	1.8231537	0.0019193708	180000	440.78420329093933
6	1.098035	1.0626589	3.924383	-0.43717933	180.125	127.713974	426.0	0.0	1000.0	26658.0	0.12694285714285714	0.048645664	0.1838436	0.8937861	-0.50468373	13.581397	7.3306427	44.189167	-9.293048	1.4901161e-08	-0.0013167758	7.4505806e-08	-0.0015904419	0.039750993	-0.008603117	357.80756	-105.4522	0	0	1.0	1.8226228	0.0016648717	210000	510.51432275772095
7	1.235945	1.5462946	5.0149846	-1.4650042	159.625	119.920395	408.0	19.0	1000.0	31765.0	0.13235416666666666	0.09463252	0.15954247	0.77994126	-0.4166827	16.427414	11.954888	57.880222	-12.482612	1.6298145e-08	-0.015806952	1.4901161e-07	0.017710555	0.057267427	-0.012441924	401.50977	-125.48205	0	0	79.0	1.8218704	0.0071839886	240000	594.611026763916
8	1.7450485	1.2278352	4.669258	-0.5730341	200.125	102.7551	488.0	38.0	1000.0	37309.0	0.1381814814814815	0.13447471	0.20147449	1.3315626	-0.44775596	17.72979	8.737476	64.40916	-4.153498	5.5879354e-09	-0.015980177	1.3038516e-07	-0.0057922956	0.058946148	-0.01264078	386.84644	-108.31721	0	0	79.0	1.7888279	0.0071731	270000	678.034303188324
9	2.463539	1.9656824	7.5342393	-1.4952866	179.375	135.08047	574.0	0.0	1000.0	42975.0	0.14325	0.19823559	0.22513933	1.5273466	-0.35794252	21.926373	11.224301	62.70685	-5.4744105	2.7939677e-09	-0.01718613	-1.4901161e-07	-1.1656433e-05	0.07701343	-0.017634407	380.64255	-131.85406	0	0	79.0	1.759657	0.007661715	300000	761.9082655906677
