Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.3162463	1.4915922	3.3954608	-1.9210316	85.333336	65.43614	227.0	0.0	1000.0	2560.0	0.08533333333333333	0.6063267	0.54003096	2.0238318	-1.1512539	-0.44104668	0.12014828	0.071127266	-0.807485	-2.0853678e-08	0.05085194	-9.358724e-08	0.002502893	0.7695204	-0.6794186	144.34192	-100.07785	0	0	1.0	1.837877	0.05537872	30000	124.19384050369263
1	1.1709878	2.5528486	7.8758154	-2.1903052	74.63333	65.40972	235.0	0.0	1000.0	4799.0	0.07998333333333334	0.11728664	0.35438657	1.1126888	-1.0314763	6.700309	5.571348	18.020277	-5.5556483	0.0	0.049175475	-6.510417e-08	0.0148101235	0.13857658	-0.02970697	45.08563	-7.2071457	0	0	1.0	1.8374736	0.08286315	60000	245.37813448905945
2	0.86466527	1.5595179	6.0583916	-1.2235926	103.433334	73.703766	294.0	0.0	1000.0	7902.0	0.0878	0.12628874	0.40689483	1.448383	-0.9281429	8.91753	5.3745103	22.609554	-2.678479	9.155274e-09	0.0029480194	-8.138021e-08	-0.0031424316	0.06438846	-0.018914409	60.85902	-11.733189	0	0	1.0	1.8379543	0.009463892	90000	366.6087772846222
3	1.2777162	1.6119757	5.0194197	-1.0730497	106.933334	77.58261	257.0	0.0	1000.0	11110.0	0.09258333333333334	0.13131063	0.37308463	1.2730954	-0.75205547	12.367236	7.05534	28.671078	-4.1778727	1.525879e-08	-0.007397597	3.2552084e-08	0.005968197	0.06567168	-0.006794259	58.456	-11.1562805	0	0	79.0	1.8384335	0.005963405	120000	512.5663743019104
4	2.7195053	2.210374	7.448811	-1.0204337	113.333336	61.44013	220.0	0.0	1000.0	14510.0	0.09673333333333334	0.1534768	0.3851291	1.1511633	-0.7081533	11.76234	7.3893285	32.320724	-4.374117	1.6276042e-08	-0.009372548	-6.510417e-08	0.0034644206	0.1279654	-0.029270537	57.321083	-7.456291	0	0	79.0	1.8313732	0.0059778863	150000	657.6751227378845
5	4.330601	3.1786637	11.957417	-0.71761316	99.666664	72.26125	254.0	0.0	1000.0	17500.0	0.09722222222222222	0.2997597	0.44175568	1.5739218	-0.5864109	11.760885	6.6141696	34.075085	-3.2815905	-9.155274e-09	0.0129246125	3.2552084e-08	0.0030368245	0.14200523	-0.038333	58.91375	-9.647247	0	0	2.0	1.8033017	0.021862892	180000	778.5005896091461
6	2.7811007	3.0131216	12.592573	-0.6495088	93.86667	68.18002	276.0	0.0	1000.0	20316.0	0.09674285714285714	0.36712292	0.45396274	2.0117948	-0.51014614	9.459573	6.410141	35.50653	-1.9890442	-1.4241537e-08	0.018674033	-4.4759116e-08	0.0021853596	0.09283431	-0.009115167	57.62554	-8.874664	0	0	1.0	1.803021	0.037592605	210000	898.9304008483887
7	3.8883538	3.491783	11.407105	-1.2004925	102.066666	74.70562	284.0	0.0	1000.0	23378.0	0.09740833333333333	0.40380093	0.5035528	1.9781009	-0.5713992	10.376916	7.7452106	38.96571	-3.0055344	0.0	0.00038153483	1.6276042e-08	-0.0035378581	0.13526663	-0.017836988	56.676273	-9.093605	0	0	1.0	1.8028091	0.0049091866	240000	1019.5720756053925
8	5.048266	3.4577508	11.199114	-0.37111953	91.53333	56.919086	226.0	0.0	1000.0	26124.0	0.09675555555555555	0.6080676	0.56498605	1.9408569	-0.55965465	10.271485	7.32882	40.413727	0.1983218	-1.2207031e-08	-0.0008457479	4.0690104e-08	0.001250004	0.33048043	-0.11548993	52.92332	-13.017189	0	0	1.0	1.8026528	0.0006192062	270000	1141.045868396759
9	4.24316	3.276918	10.13351	-1.0757571	99.63333	77.39616	283.0	0.0	1000.0	29113.0	0.09704333333333333	0.50465685	0.48075	2.064638	-0.8077132	9.634314	7.0412693	37.22582	-1.0935873	2.0345052e-09	-0.0011946105	-4.0690104e-08	0.00077736203	0.16029452	-0.031872526	53.42037	-10.951534	0	0	1.0	1.8026388	0.0007711281	300000	1265.109305858612
10	5.1072335	3.2121134	13.25689	-1.2951107	104.6	53.2213	250.0	0.0	1000.0	32251.0	0.09773030303030303	0.47896782	0.4816053	2.0432754	-0.59981585	11.331883	7.4963107	40.775646	-0.065611966	-1.4241537e-08	-0.0008560618	8.138021e-08	-0.0013018148	0.15739356	-0.03424775	53.77394	-12.288994	0	0	1.0	1.8027599	0.0009075605	330000	1388.6899354457855
11	4.841233	2.6269097	10.502721	0.3458338	108.96667	54.009556	217.0	0.0	1000.0	35520.0	0.09866666666666667	0.5305006	0.48463166	2.0132847	-0.5554756	10.881784	6.7749305	37.291523	-1.5636508	1.5258789e-09	-0.0013772562	0.0	-0.0013389323	0.124533005	-0.021914594	46.898045	-8.268028	0	0	1.0	1.8029406	0.0009350398	360000	1511.4382741451263
12	5.599097	3.266702	12.714962	0.8443179	104.7	59.861034	219.0	0.0	1000.0	38661.0	0.09913076923076923	0.5600906	0.4985592	2.0676205	-0.5952459	10.9282465	6.409537	35.42807	-0.8978809	6.1035155e-09	-0.0011455098	-2.4414062e-08	0.0007268473	0.22921313	-0.061328232	50.010166	-10.066734	0	0	1.0	1.8030112	0.0017928663	390000	1632.3544857501984
13	5.9443407	2.7073083	10.219501	-0.51273715	93.8	48.248245	171.0	0.0	1000.0	41475.0	0.09875	0.6200233	0.53206223	2.1370537	-0.5417914	10.696073	6.5265355	38.05982	-2.1333334	-1.4241537e-08	-0.0020249065	0.0	5.5269367e-05	0.15590438	-0.027291745	42.64506	-7.5532875	0	0	1.0	1.8028655	0.0025231887	420000	1753.6666541099548
14	6.470639	3.3816824	12.162025	-0.8277423	96.4	46.449684	205.0	4.0	1000.0	44367.0	0.09859333333333334	0.6405513	0.53921443	2.231947	-0.5035277	9.961652	5.7937946	33.114773	-2.2269292	-1.0172526e-08	-0.010081968	-1.3224284e-08	0.0040728077	0.13960618	-0.024358392	45.708817	-8.846523	0	0	79.0	1.8026798	0.0064487336	450000	1897.9059386253357
15	6.8608923	2.9810524	14.296516	2.5520074	90.1	46.57564	210.0	11.0	1000.0	47070.0	0.0980625	0.66091985	0.5358671	2.2238996	-0.54750484	9.839773	6.1334743	41.55093	-1.6363379	-2.0345052e-09	-0.00948737	-2.4414062e-08	-0.0046124067	0.14967737	-0.027667463	38.194645	-8.349028	0	0	79.0	1.774703	0.006799772	480000	2043.4039254188538
16	8.93597	4.304155	18.719002	1.5576106	102.6	49.696815	211.0	19.0	1000.0	50148.0	0.09832941176470589	0.84521824	0.52528936	2.1141527	-0.43524495	9.680783	6.0368147	35.08919	-4.550177	7.1207684e-09	-0.009401007	-2.0345052e-09	-0.005499575	0.21027645	-0.048477396	46.33383	-10.890839	0	0	79.0	1.7441925	0.0057695587	510000	2188.0130784511566
17	9.716597	3.2802777	19.0862	4.761194	105.666664	36.973263	201.0	41.0	1000.0	53318.0	0.09873703703703704	0.9687535	0.5780224	2.625074	-0.5208436	11.121964	5.8365726	38.051838	-0.8226645	4.0690105e-09	0.0039903196	-4.8828124e-08	0.0019386067	0.17710158	-0.028484985	40.584007	-9.43816	0	0	5.0	1.712131	0.011787583	540000	2310.0419466495514
18	9.981368	3.2533407	17.821184	5.582199	97.03333	44.29408	201.0	0.0	1000.0	56229.0	0.09864736842105264	0.9918828	0.57120204	2.3533027	-0.32716814	10.6334095	5.556545	39.887333	-0.50228536	6.612142e-09	0.006363405	2.0345052e-08	-0.0030658771	0.18600293	-0.03887327	41.06791	-10.505091	0	0	1.0	1.7114029	0.02016779	570000	2431.3364531993866
19	11.855274	3.4163961	17.651144	4.627825	89.73333	37.673985	173.0	16.0	1000.0	58921.0	0.09820166666666667	1.198706	0.5029699	2.7746544	-0.1932289	9.610197	5.994067	39.532673	-2.2783267	1.373291e-08	-0.00075292407	-1.6276042e-08	0.0008172364	0.23290211	-0.07325803	31.357609	-7.3724575	0	0	1.0	1.7110478	0.0029706089	600000	2555.22535777092
20	10.565343	3.326181	17.33275	4.94443	91.0	40.4475	200.0	0.0	1000.0	61651.0	0.09785873015873016	1.1900004	0.5928668	2.84013	-0.5573864	9.395957	5.448558	36.656445	-0.93081564	7.1207684e-09	-0.0012860947	2.8483074e-08	-0.00037850344	0.19099635	-0.037803218	31.1525	-9.562046	0	0	1.0	1.7106469	0.0010232521	630000	2681.689953327179
21	11.210508	3.2729924	19.085283	6.3919997	102.23333	38.04531	231.0	32.0	1000.0	64718.0	0.09805757575757576	1.1426004	0.56901616	2.7763858	-0.43548623	10.345758	5.9277787	36.817184	-1.4087625	6.1035155e-09	-0.0011031799	0.0	-0.0014539388	0.16059801	-0.03223528	32.499897	-8.476427	0	0	1.0	1.7102966	0.0008959742	660000	2805.9984452724457
22	12.496561	3.768872	21.783314	5.5924516	92.63333	32.777515	162.0	33.0	1000.0	67497.0	0.09782173913043478	1.215532	0.54844284	2.6935503	-0.28123984	10.190247	5.3335824	38.20486	0.81663096	0.0	-0.0015113688	-4.0690105e-09	-0.00027857666	0.20580071	-0.037744164	31.473646	-8.232409	0	0	1.0	1.7099967	0.0027128519	690000	2928.443970680237
23	11.644076	3.14174	19.192913	5.032171	89.066666	36.9287	197.0	26.0	1000.0	70169.0	0.09745694444444444	1.2338556	0.5771795	2.6882071	-0.31816918	9.692378	5.72693	37.493465	-0.06591084	-8.138021e-09	-0.0011370239	4.8828124e-08	-0.00063147786	0.1850751	-0.027265549	29.06507	-8.485893	0	0	1.0	1.7096491	0.001247849	720000	3052.1300163269043
24	12.898965	4.0125127	23.01504	6.0930066	94.933334	43.35738	243.0	34.0	1000.0	73017.0	0.097356	1.2943727	0.56913674	2.9451525	-0.2943511	10.003469	5.643261	38.562748	-0.7577977	0.0	-0.0009427002	-1.8310548e-08	-0.00048002726	0.18544361	-0.030446023	31.686539	-9.131693	0	0	1.0	1.7092149	0.001998227	750000	3176.010222673416
25	11.386961	2.8417082	17.806307	5.978969	95.9	33.338017	170.0	38.0	1000.0	75894.0	0.0973	1.2791553	0.6050403	2.6385398	-0.3527985	9.316192	5.3244023	33.913002	-1.0791569	-8.138021e-09	-0.00176003	-2.4414062e-08	0.0023688944	0.17300315	-0.04165323	35.030926	-11.328434	0	0	1.0	1.7087171	0.0025560013	780000	3298.578898191452
26	11.223171	3.222438	16.17492	3.9170125	98.7	38.737705	176.0	12.0	1000.0	78855.0	0.09735185185185186	1.2137916	0.5864933	2.4667423	-0.2976275	10.070838	5.814833	41.17924	0.1026499	2.0345052e-09	-0.0016864481	5.086263e-08	-0.00056519575	0.17410742	-0.029560596	30.38838	-10.565989	0	0	1.0	1.708241	0.002732399	810000	3419.9752621650696
27	13.065769	2.966597	21.330666	5.829041	101.63333	41.764004	185.0	34.0	1000.0	81904.0	0.0975047619047619	1.2858495	0.5781194	2.47024	-0.41161063	9.756661	5.979817	35.963642	-0.7022284	2.0345052e-09	-0.001273295	4.0690105e-09	5.3059894e-06	0.20137452	-0.03298904	31.656837	-10.582523	0	0	1.0	1.7077892	0.0016527924	840000	3541.175543308258
28	13.023865	3.0172386	19.910673	8.777211	91.0	28.215836	160.0	20.0	1000.0	84634.0	0.09728045977011494	1.4015275	0.55842006	2.833603	-0.2712112	10.056772	5.876561	35.682133	-1.0552418	8.138021e-09	-0.0012346476	3.6621095e-08	-0.00086455484	0.18557248	-0.04651372	30.99442	-12.513624	0	0	1.0	1.7071426	0.0015776234	870000	3662.380894422531
