Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.1119613	0.8080168	1.8328863	-1.5326977	124.53571	121.14557	545.0	0.0	1000.0	3661.0	0.12203333333333333	0.24666211	0.27156314	1.2031533	-0.69389576	-0.56968904	0.30955717	0.7707206	-1.5113199	9.313226e-10	0.017629087	-1.1920929e-07	-0.016003475	0.14164525	-0.10793843	472.71613	-161.67027	0	0	1.0	1.837877	0.03196276	30000	136.02925324440002
1	0.22086395	0.63305473	1.962573	-0.871404	87.21429	114.40728	581.0	0.0	1000.0	6166.0	0.10276666666666667	0.056425586	0.10085244	0.476856	-0.3502802	11.641898	2.0568252	16.89174	-6.9014378	-9.313226e-09	0.06487175	1.3411045e-07	-0.01889173	0.025323514	-0.00603256	259.10736	-17.112724	0	0	1.0	1.838371	0.09834343	60000	268.78578758239746
2	0.14007637	0.873716	2.008401	-1.6059409	93.14286	104.78199	415.0	0.0	1000.0	8774.0	0.09748888888888889	0.02216154	0.07196331	0.3309424	-0.28928593	9.452271	2.6181536	17.916098	-3.7256355	-6.519258e-09	0.0005230899	8.195639e-08	-0.004499048	0.04185097	-0.011549542	217.32593	-65.68301	0	0	1.0	1.8392491	0.0063417777	90000	401.46450567245483
3	0.71063215	1.3967651	3.90765	-1.7141141	151.03572	133.7045	439.0	0.0	1000.0	13112.0	0.10926666666666666	0.012250688	0.1371224	0.508932	-0.5005208	9.743711	7.2381096	29.203566	-11.742031	0.0	-0.013884264	8.940697e-08	0.011721292	0.057283334	-0.016072158	449.9949	-98.78744	0	0	79.0	1.8399807	0.0064731115	120000	561.4541387557983
4	0.72010076	1.0673025	3.5084074	-1.0145298	145.39285	107.64138	371.0	0.0	1000.0	17401.0	0.11600666666666666	0.048264652	0.15186504	0.756898	-0.4519517	16.493725	7.495446	36.749943	-5.6074758	-1.3038516e-08	-0.016032126	1.3411045e-07	-0.0020991825	0.045216456	-0.0074330373	298.20282	-46.82641	0	0	79.0	1.8186777	0.007770203	150000	720.5050122737885
5	1.1287612	1.1377429	3.858745	-1.0195576	126.53571	119.32114	426.0	0.0	1000.0	21419.0	0.11899444444444444	0.07204811	0.18124971	0.8804025	-0.48903996	14.443767	7.1106067	39.031437	-11.868119	3.7252903e-09	-0.016172338	-1.4901161e-08	0.008603349	0.050233684	-0.010954853	306.19995	-69.90025	0	0	79.0	1.7922353	0.0069814064	180000	879.5608866214752
6	1.7562379	1.2426857	4.816884	-0.16396374	152.75	113.94818	417.0	0.0	1000.0	26090.0	0.12423809523809524	0.12730375	0.19752437	1.1611503	-0.34620395	14.060917	9.395076	47.40478	-23.933449	0.0	-0.017959703	1.1920929e-07	-0.0007004943	0.046561625	-0.00856032	397.78738	-114.968414	0	0	79.0	1.7827137	0.0074325455	210000	1038.0788359642029
7	2.478453	1.3622185	5.4990435	-0.7692761	155.5	125.88983	494.0	0.0	1000.0	30675.0	0.1278125	0.18414785	0.21362068	1.1659684	-0.30844066	17.731188	11.693775	54.22162	-30.07354	3.7252903e-09	-0.017357247	2.3841858e-07	-0.0014929771	0.05948898	-0.0113350805	309.0871	-107.42791	0	0	79.0	1.7588878	0.007131226	240000	1196.7374308109283
8	3.8976402	1.5127203	7.7358165	0.5850172	167.75	115.261696	513.0	0.0	1000.0	35844.0	0.13275555555555554	0.27470914	0.23021695	1.2404846	-0.30787095	16.971867	12.085311	55.84208	-16.656916	8.614734e-09	-0.017433736	1.4901161e-07	-0.011003133	0.08490338	-0.029946413	372.79965	-133.82393	0	0	79.0	1.72844	0.0082535595	270000	1353.5059025287628
9	4.5094876	1.7612138	7.099813	0.8540216	169.32143	144.61725	587.0	0.0	1000.0	40935.0	0.13645	0.42146802	0.2943531	1.6288911	-0.20454283	17.409372	10.927465	62.8516	-10.425843	4.4237822e-09	-0.015647277	-1.7881393e-07	-0.005487608	0.083983526	-0.018947825	327.2677	-123.726494	0	0	79.0	1.6897123	0.010294734	300000	1514.132571697235
10	5.270377	2.5043204	9.465492	-0.8522141	235.57143	142.58492	561.0	0.0	1000.0	47555.0	0.1441060606060606	0.4701653	0.32668555	1.8902575	-0.15017982	18.71741	13.982711	70.20532	-5.2562766	5.5879354e-09	0.009342382	5.9604645e-08	-0.0017160699	0.102122486	-0.030240105	429.26263	-169.70299	0	0	3.0	1.6487838	0.021791961	330000	1648.8719079494476
11	5.178673	2.8549185	11.681545	-0.57162565	192.5	101.374306	420.0	0.0	1000.0	53320.0	0.1481111111111111	0.56319404	0.4013933	1.8366138	-0.21219091	21.08147	13.306715	79.71732	-14.597845	-4.656613e-09	0.0018067341	1.1920929e-07	-0.0025253668	0.11832786	-0.031791408	331.53568	-141.24823	0	0	1.0	1.647373	0.010278655	360000	1780.8961472511292
12	5.863438	2.0335228	10.575728	1.4584713	179.78572	85.17769	389.0	42.0	1000.0	58597.0	0.15024871794871794	0.5794835	0.3937311	1.9342915	-0.251251	20.180359	12.371581	74.15006	-4.631357	-2.9802322e-08	-0.00229921	-7.4505806e-08	0.0068120286	0.09629159	-0.028890729	259.9369	-87.600334	0	0	1.0	1.6464345	0.0024930267	390000	1916.0755298137665
13	7.018121	2.9980676	10.918326	-0.6138645	163.32143	97.83516	317.0	0.0	1000.0	63573.0	0.1513642857142857	0.66939354	0.36619213	1.8330244	-0.12991323	19.080648	12.695291	77.82071	-11.285068	9.313226e-10	-0.0015347674	5.9604645e-08	-0.0010305345	0.13529554	-0.039156552	249.27138	-126.20438	0	0	1.0	1.6455879	0.0024153953	420000	2048.5284218788147
14	8.811951	2.3225858	12.500677	3.2693174	207.60715	128.10274	524.0	30.0	1000.0	69726.0	0.15494666666666668	0.8101671	0.42153558	2.1227942	-0.31063098	18.678492	12.635296	78.03932	-13.069039	0.0	-0.0019846347	-8.940697e-08	0.0049377307	0.14047937	-0.04171835	348.10132	-155.12166	0	0	1.0	1.6449544	0.006418891	450000	2181.886409521103
15	8.530302	2.5155935	15.400147	4.2825074	131.75	76.07545	266.0	0.0	1000.0	73585.0	0.15330208333333334	0.8375659	0.41706342	1.9624089	-0.13534723	19.239063	13.00448	87.49132	-6.340507	-1.4901161e-08	0.00024676276	-1.4808029e-07	-0.00923952	0.110184215	-0.030116344	212.72891	-101.906235	0	0	1.0	1.6443981	0.0053463886	480000	2312.116107225418
16	7.006328	2.826351	12.838962	0.9578959	184.46428	101.66243	372.0	11.0	1000.0	79090.0	0.155078431372549	0.8070012	0.42879665	1.9938848	-0.19911727	14.984314	9.955289	71.62569	-2.0889347	1.21071935e-08	-0.0016841609	3.7252903e-08	0.0037209392	0.09987961	-0.034445442	283.5509	-114.69968	0	0	1.0	1.643765	0.0058376603	510000	2444.947096347809
17	9.407012	2.2499068	15.183627	5.938928	169.17857	94.13594	473.0	36.0	1000.0	84108.0	0.15575555555555556	0.86884624	0.40943614	1.9690369	-0.14132081	17.052252	10.705965	79.35122	-0.53649896	-7.450581e-09	-0.0016128526	-5.5879354e-08	-0.0011834651	0.11167161	-0.032702073	213.80685	-87.61186	0	0	1.0	1.6431844	0.004791393	540000	2576.7214562892914
18	9.085537	2.022925	13.793656	4.234253	203.60715	96.24312	449.0	34.0	1000.0	90276.0	0.15837894736842106	0.9599349	0.4144105	1.9798961	-0.024257593	18.352392	11.947383	76.67586	-6.247092	3.7252903e-09	-0.0015562582	2.9802322e-08	0.0048352834	0.09055091	-0.024521362	278.2767	-102.88667	0	0	1.0	1.6426166	0.0049666828	570000	2708.2322545051575
19	9.320113	3.5000827	15.55192	0.9928545	239.10715	129.02667	671.0	0.0	1000.0	97342.0	0.16223666666666667	0.9324361	0.41503185	2.1122077	-0.03615915	21.7366	12.377418	78.586655	-3.2171094	1.8626451e-09	-0.0008415242	2.9802322e-08	0.0032174438	0.12508291	-0.03963232	329.7849	-161.0462	0	0	1.0	1.6420459	0.0029012028	600000	2841.3666348457336
20	10.16007	2.2479513	14.445059	5.2316685	199.92857	97.19896	359.0	0.0	1000.0	103217.0	0.16383650793650795	0.99776864	0.4553446	2.0373082	-0.30898383	23.801273	13.595254	74.832565	-2.8711512	-9.313226e-10	-0.0012239274	1.0430813e-07	0.010378581	0.12897798	-0.04613646	267.74365	-120.8457	0	0	1.0	1.6414027	0.0043038307	630000	2973.088993549347
